Offset;Input Attributes: Layout 4 (Per vertex).TEXCOORD0[0];Input Attributes: Layout 4 (Per vertex).TEXCOORD0[1]
0;0.8803241;0.9863986
8;0.8814548;0.9838461
16;0.874687;0.9829392
24;0.873589;0.9854403
32;0.8678852;0.98205
40;0.8790511;0.9893644
48;0.8669068;0.9846548
56;0.8717414;0.9882735
64;0.8603771;0.9837263
72;0.8614683;0.9810379
80;0.8707721;0.9910383
88;0.8624614;0.9894915
96;0.8780681;0.99213
104;0.8763922;0.9969908
112;0.8692394;0.9958146
120;0.8617753;0.9947702
128;0.8534263;0.9938151
136;0.8654329;0.9873183
144;0.859376;0.9862973
152;0.8525776;0.9875748
160;0.8439261;0.9929067
168;0.853591;0.9851252
176;0.8423474;0.9855263
184;0.8329646;0.9917739
192;0.8543979;0.9826224
200;0.8553595;0.9801431
208;0.8480984;0.9840631
216;0.8488952;0.981468
224;0.8496885;0.9793302
232;0.8430143;0.9830783
240;0.8438077;0.9805008
248;0.8443878;0.9783993
256;0.8383071;0.9820147
264;0.8389786;0.9796028
272;0.8395079;0.9775864
280;0.8340774;0.9838332
288;0.8259913;0.9824166
296;0.8221452;0.9910946
304;0.8122445;0.9916469
312;0.8350242;0.9788077
320;0.8353469;0.9769915
328;0.8316205;0.9764777
336;0.8344486;0.9811094
344;0.8305811;0.9802371
352;0.8312526;0.9780455
360;0.8284189;0.9759954
368;0.827727;0.9773316
376;0.8262768;0.9756657
384;0.8267621;0.9793624
392;0.8239384;0.9762036
400;0.8247206;0.9753731
408;0.8194435;0.9775743
416;0.8232241;0.9754086
424;0.8191296;0.9820508
432;0.8069786;0.9838774
440;0.8098283;0.9885042
448;0.8022861;0.9925505
456;0.7895832;0.9939896
464;0.7854707;0.9838613
472;0.8186693;0.9754978
480;0.8056526;0.9771426
488;0.7840555;0.9751883
496;0.8253379;0.9746215
504;0.8266255;0.9750556
512;0.8050905;0.9719571
520;0.819132;0.9727804
528;0.8046866;0.967057
536;0.7825625;0.9657891
544;0.793523;0.9640768
552;0.8066648;0.9615667
560;0.8291557;0.9733705
568;0.8289097;0.9743763
576;0.8277214;0.9706652
584;0.8153389;0.9671486
592;0.8278432;0.9648067
600;0.8169607;0.9584635
608;0.8316848;0.97238
616;0.8317796;0.9736808
624;0.8313338;0.9696586
632;0.8351754;0.971338
640;0.8353108;0.972876
648;0.8372191;0.9618642
656;0.8257328;0.9549357
664;0.8352296;0.9686247
672;0.8396231;0.9702913
680;0.8396636;0.9720423
688;0.8397426;0.967217
696;0.8443347;0.969087
704;0.8446676;0.97108
712;0.8456879;0.9582022
720;0.8337353;0.950928
728;0.8438935;0.9656766
736;0.8494696;0.9672933
744;0.8504086;0.9696667
752;0.8534466;0.9542877
760;0.8409683;0.946753
768;0.8482757;0.9638854
776;0.852704;0.9620267
784;0.8549069;0.9652681
792;0.8565049;0.9678658
800;0.8574778;0.9596139
808;0.8603218;0.9626456
816;0.8626002;0.9652248
824;0.8607066;0.9494985
832;0.8476267;0.9427565
840;0.8623464;0.9568322
848;0.8655356;0.9596284
856;0.8684405;0.9619519
864;0.8647929;0.9460721
872;0.8537592;0.9386757
880;0.8664396;0.9538222
888;0.8708838;0.9500701
896;0.8699087;0.9562638
904;0.8732334;0.9584715
912;0.8746272;0.9522328
920;0.8781245;0.9540731
928;0.125313;0.9829392
936;0.1185451;0.9838461
944;0.1196759;0.9863986
952;0.1264111;0.9854403
960;0.1209489;0.9893644
968;0.1321147;0.98205
976;0.1282585;0.9882735
984;0.1330932;0.9846548
992;0.1292279;0.9910383
1000;0.1375386;0.9894915
1008;0.1219319;0.99213
1016;0.1236078;0.9969908
1024;0.1307605;0.9958146
1032;0.1382247;0.9947702
1040;0.1465737;0.9938151
1048;0.139623;0.9837263
1056;0.1385317;0.9810379
1064;0.1345682;0.9873183
1072;0.140624;0.9862973
1080;0.1474224;0.9875748
1088;0.1560739;0.9929067
1096;0.145602;0.9826224
1104;0.1446405;0.9801431
1112;0.1464089;0.9851252
1120;0.1576527;0.9855263
1128;0.1670355;0.9917739
1136;0.1519016;0.9840631
1144;0.1511048;0.981468
1152;0.1503114;0.9793302
1160;0.1569857;0.9830783
1168;0.1561923;0.9805008
1176;0.1556123;0.9783993
1184;0.1616929;0.9820147
1192;0.1610214;0.9796028
1200;0.1604921;0.9775864
1208;0.1659227;0.9838332
1216;0.1740087;0.9824166
1224;0.1778548;0.9910946
1232;0.1877556;0.9916469
1240;0.1649758;0.9788077
1248;0.1646531;0.9769915
1256;0.1683795;0.9764777
1264;0.1655514;0.9811094
1272;0.1694189;0.9802371
1280;0.1687474;0.9780455
1288;0.1715812;0.9759954
1296;0.172273;0.9773316
1304;0.1737232;0.9756657
1312;0.1732379;0.9793624
1320;0.1760616;0.9762036
1328;0.1752794;0.9753731
1336;0.1805565;0.9775743
1344;0.1767759;0.9754086
1352;0.1808703;0.9820508
1360;0.1930214;0.9838774
1368;0.1901718;0.9885042
1376;0.1977139;0.9925505
1384;0.2104168;0.9939896
1392;0.2145292;0.9838613
1400;0.1813308;0.9754978
1408;0.1943462;0.9771426
1416;0.2159445;0.9751883
1424;0.1746621;0.9746215
1432;0.1733745;0.9750556
1440;0.1949094;0.9719571
1448;0.180868;0.9727804
1456;0.1953135;0.967057
1464;0.2174375;0.9657891
1472;0.2064771;0.9640768
1480;0.1933351;0.9615667
1488;0.1708443;0.9733705
1496;0.1710903;0.9743763
1504;0.1722787;0.9706652
1512;0.1846611;0.9671486
1520;0.1721568;0.9648067
1528;0.1830394;0.9584635
1536;0.1683152;0.97238
1544;0.1682204;0.9736808
1552;0.1686662;0.9696586
1560;0.1648246;0.971338
1568;0.1646892;0.972876
1576;0.1627808;0.9618642
1584;0.1742672;0.9549357
1592;0.1647704;0.9686247
1600;0.160377;0.9702913
1608;0.1603363;0.9720423
1616;0.1602574;0.967217
1624;0.1556653;0.969087
1632;0.1553324;0.97108
1640;0.1543122;0.9582022
1648;0.1662646;0.950928
1656;0.1561066;0.9656766
1664;0.1505304;0.9672933
1672;0.1495914;0.9696667
1680;0.1465534;0.9542877
1688;0.1590318;0.946753
1696;0.1517244;0.9638854
1704;0.147296;0.9620267
1712;0.1450931;0.9652681
1720;0.1434951;0.9678658
1728;0.1425222;0.9596139
1736;0.1396783;0.9626456
1744;0.1373998;0.9652248
1752;0.1392934;0.9494985
1760;0.1523733;0.9427565
1768;0.1376525;0.9568322
1776;0.1344644;0.9596284
1784;0.1315595;0.9619519
1792;0.135207;0.9460721
1800;0.1462408;0.9386757
1808;0.1335604;0.9538222
1816;0.1291162;0.9500701
1824;0.1300913;0.9562638
1832;0.1267666;0.9584715
1840;0.1253728;0.9522328
1848;0.1218766;0.9540731
1856;0.9600385;0.9825728
1864;0.9928;0.9843
1872;0.9928;0.9316
1880;0.965323;0.9337004
1888;0.9296248;0.9747451
1896;0.9683912;0.8856728
1904;0.9928;0.8808
1912;0.9404804;0.928785
1920;0.8947325;0.9525095
1928;0.9717937;0.8382192
1936;0.9928;0.835
1944;0.9460227;0.8848049
1952;0.90759;0.9135198
1960;0.8646953;0.9195322
1968;0.9758168;0.7905552
1976;0.9928;0.7812
1984;0.9928;0.7478
1992;0.952474;0.8393201
2000;0.9174808;0.8753389
2008;0.8798369;0.8898657
2016;0.8446411;0.8920897
2024;0.9702256;0.74951
2032;0.9928;0.7065
2040;0.9598011;0.7930494
2048;0.9283441;0.8345025
2056;0.8954253;0.8595471
2064;0.8630643;0.8701282
2072;0.8266935;0.8685241
2080;0.9404886;0.7923195
2088;0.9531436;0.748872
2096;0.9095062;0.8227119
2104;0.9232997;0.7857477
2112;0.8819758;0.8431479
2120;0.8517984;0.8484749
2128;0.896663;0.8118016
2136;0.9758348;0.7045476
2144;0.9795842;0.6480954
2152;0.9928;0.6523
2160;0.9627926;0.7015885
2168;0.9375498;0.7474571
2176;0.8716421;0.8266581
2184;0.9093305;0.7765365
2192;0.9822512;0.5811461
2200;0.9928;0.5906
2208;0.8901216;0.8014393
2216;0.8847973;0.7904293
2224;0.8570867;0.8187979
2232;0.9836291;0.5213351
2240;0.9928;0.53618
2248;0.8256505;0.8422883
2256;0.9844633;0.4581385
2264;0.9928;0.4827
2272;0.9849343;0.3986535
2280;0.9928;0.4309
2288;0.9841175;0.3456564
2296;0.9928;0.376
2304;0.9928;0.3101
2312;0.972607;0.3835641
2320;0.9745177;0.445492
2328;0.9815453;0.2892969
2336;0.9928;0.2372
2344;0.9687384;0.3287252
2352;0.9786091;0.230509
2360;0.9928;0.1734
2368;0.97492;0.5153471
2376;0.9614302;0.3806213
2384;0.9637382;0.2746725
2392;0.9763216;0.1728469
2400;0.9928;0.1127
2408;0.9660239;0.4435799
2416;0.9735093;0.5766009
2424;0.9549845;0.3228795
2432;0.9591283;0.2208629
2440;0.9739228;0.1214519
2448;0.9928;0.0532
2456;0.9676503;0.5186977
2464;0.9542817;0.3759098
2472;0.947215;0.2666129
2480;0.9543393;0.1679492
2488;0.9711708;0.07392241
2496;0.9928;0.0081
2504;0.9696;0.0081
2512;0.9498482;0.1194813
2520;0.9462908;0.07432607
2528;0.9425;0.0081
2536;0.9399374;0.2121505
2544;0.9455271;0.316798
2552;0.9325849;0.160073
2560;0.9224448;0.07010939
2568;0.9206;0.0081
2576;0.9262815;0.1129229
2584;0.9301081;0.2534935
2592;0.894213;0.0638767
2600;0.89055;0.0081
2608;0.9211824;0.1990788
2616;0.9095428;0.1503194
2624;0.9004459;0.1050703
2632;0.86309;0.05727989
2640;0.849;0.0081
2648;0.8730396;0.09724714
2656;0.8852859;0.1407123
2664;0.8986391;0.1881861
2672;0.833917;0.05301682
2680;0.8247;0.0081
2688;0.8447476;0.09022306
2696;0.8584824;0.1311781
2704;0.8068504;0.04911809
2712;0.8002;0.0081
2720;0.8169278;0.08354895
2728;0.7788602;0.04552462
2736;0.7766;0.0081
2744;0.9092267;0.2405956
2752;0.8757041;0.176132
2760;0.8315482;0.1217186
2768;0.7903762;0.07873601
2776;0.7488219;0.04076336
2784;0.7456;0.0081
2792;0.8887458;0.2280693
2800;0.8502634;0.1660797
2808;0.8068695;0.1153177
2816;0.7613565;0.07380605
2824;0.7138306;0.03712396
2832;0.7122;0.0081
2840;0.8753524;0.2096362
2848;0.8281609;0.1565278
2856;0.7829226;0.1111597
2864;0.7332177;0.0689641
2872;0.6811242;0.03710181
2880;0.6393;0.0081
2888;0.8437012;0.1952929
2896;0.8097104;0.1522095
2904;0.8380688;0.2037402
2912;0.7580729;0.106485
2920;0.7030187;0.06576992
2928;0.7908915;0.1495165
2936;0.7315609;0.1001363
2944;0.876471;0.2577841
2952;0.8256944;0.204942
2960;0.772006;0.1490677
2968;0.902508;0.2807862
2976;0.8623447;0.2588966
2984;0.8074329;0.2026491
2992;0.9203741;0.296036
3000;0.853991;0.2622776
3008;0.9336411;0.3079574
3016;0.9435145;0.3625807
3024;0.9313577;0.347328
3032;0.9165313;0.3331598
3040;0.9010522;0.3205361
3048;0.8908422;0.316687
3056;0.8719923;0.3194169
3064;0.952071;0.4179322
3072;0.9410236;0.3939264
3080;0.9295123;0.379427
3088;0.9160286;0.3672331
3096;0.9036602;0.3652967
3104;0.882605;0.3640165
3112;0.9610167;0.4470918
3120;0.9440184;0.447046
3128;0.9347017;0.4323857
3136;0.9155996;0.4131787
3144;0.9516996;0.4618015
3152;0.9588732;0.4822222
3160;0.9640361;0.529778
3168;0.8905644;0.4003416
3176;0.966592;0.5822993
3184;0.9524539;0.5151762
3192;0.9570668;0.5230418
3200;0.9606686;0.532586
3208;0.948495;0.5082316
3216;0.9361882;0.4774651
3224;0.9184715;0.4511676
3232;0.942418;0.5085918
3240;0.9593515;0.5868465
3248;0.9576979;0.5759267
3256;0.9542007;0.5621335
3264;0.9521106;0.552183
3272;0.9468109;0.5464059
3280;0.9629937;0.5877751
3288;0.9378684;0.5165727
3296;0.9427594;0.5464753
3304;0.9276828;0.488771
3312;0.9325725;0.5216303
3320;0.9508574;0.5966964
3328;0.9467294;0.5843505
3336;0.944106;0.5778346
3344;0.937134;0.5467402
3352;0.950138;0.6085064
3360;0.951196;0.6273105
3368;0.9536351;0.6375207
3376;0.957202;0.641203
3384;0.9619485;0.6415377
3392;0.9696095;0.6441642
3400;0.9513782;0.7010638
3408;0.9439553;0.6980894
3416;0.9261972;0.7406737
3424;0.9405423;0.6865157
3432;0.9222508;0.7277746
3440;0.9025098;0.7597436
3448;0.9402802;0.6701646
3456;0.9248157;0.7089108
3464;0.9031017;0.7393548
3472;0.8813789;0.7788195
3480;0.9400487;0.6532835
3488;0.9258816;0.6924086
3496;0.940165;0.6426682
3504;0.9102322;0.7182654
3512;0.9267135;0.6843842
3520;0.9177467;0.6993827
3528;0.942963;0.6183912
3536;0.9191943;0.6832276
3544;0.9053643;0.6940953
3552;0.8994538;0.7153224
3560;0.8884734;0.7361563
3568;0.9357811;0.6456171
3576;0.9420757;0.6069844
3584;0.92521;0.667994
3592;0.935502;0.6365607
3600;0.8816678;0.758506
3608;0.8787277;0.722744
3616;0.9248545;0.6595641
3624;0.9102773;0.6757116
3632;0.8565125;0.7974728
3640;0.8686309;0.7482349
3648;0.9102501;0.6820265
3656;0.8955575;0.688428
3664;0.8827473;0.7016408
