Offset;Input Attributes: Layout 5 (Per vertex).TEXCOORD1[0];Input Attributes: Layout 5 (Per vertex).TEXCOORD1[1]
0;0.06096506;0.9889483
8;0.06101811;0.9887803
16;0.06070077;0.9887205
24;0.06064928;0.9888853
32;0.06038177;0.9886621
40;0.0609054;0.9891436
48;0.06033587;0.9888335
56;0.06056267;0.9890717
64;0.06002975;0.9887724
72;0.06008089;0.9885954
80;0.06051719;0.9892538
88;0.06012744;0.989152
96;0.06085932;0.9893256
104;0.0607807;0.9896456
112;0.06044531;0.9895681
120;0.06009525;0.9894994
128;0.05970377;0.9894365
136;0.06026679;0.9890088
144;0.05998278;0.9889417
152;0.05966395;0.9890257
160;0.05925828;0.9893768
168;0.05971146;0.9888645
176;0.05918419;0.9888909
184;0.05874419;0.9893022
192;0.05974931;0.9886997
200;0.05979443;0.9885365
208;0.0594539;0.9887946
216;0.05949128;0.9886237
224;0.05952847;0.988483
232;0.05921549;0.9887297
240;0.05925268;0.9885601
248;0.05927986;0.9884217
256;0.05899477;0.9886597
264;0.05902624;0.988501
272;0.0590511;0.9883682
280;0.05879635;0.9887794
288;0.0584172;0.9886862
296;0.05823684;0.9892575
304;0.05777258;0.9892938
312;0.05884081;0.9884486
320;0.05885589;0.9883291
328;0.05868119;0.9882953
336;0.05881381;0.9886001
344;0.05863243;0.9885427
352;0.0586639;0.9883984
360;0.05853105;0.9882635
368;0.05849862;0.9883514
376;0.05843055;0.9882418
384;0.05845338;0.9884852
392;0.05832094;0.9882772
400;0.05835766;0.9882225
408;0.05811012;0.9883674
416;0.05828744;0.9882249
424;0.0580954;0.9886621
432;0.05752563;0.9887823
440;0.05765921;0.9890869
448;0.05730557;0.9893532
456;0.05670989;0.989448
464;0.056517;0.9887813
472;0.05807382;0.9882307
480;0.05746347;0.9883389
488;0.05645066;0.9882104
496;0.05838656;0.9881731
504;0.05844694;0.9882016
512;0.05743712;0.9879977
520;0.05809557;0.9880519
528;0.05741811;0.9876751
536;0.05638063;0.9875916
544;0.0568946;0.9874789
552;0.05751091;0.9873137
560;0.05856562;0.9880907
568;0.05855405;0.9881569
576;0.05849832;0.9879127
584;0.05791765;0.9876811
592;0.05850405;0.987527
600;0.05799371;0.9871094
608;0.05868417;0.9880255
616;0.05868864;0.9881111
624;0.05866778;0.9878464
632;0.05884784;0.9879569
640;0.05885422;0.9880581
648;0.05894375;0.9873333
656;0.0584051;0.9868771
664;0.05885041;0.9877783
672;0.05905646;0.987888
680;0.05905837;0.9880033
688;0.05906206;0.9876856
696;0.05927742;0.9878087
704;0.05929303;0.9879399
712;0.05934089;0.9870922
720;0.05878037;0.9866133
728;0.05925673;0.9875842
736;0.05951822;0.9876907
744;0.05956221;0.9878469
752;0.05970472;0.9868345
760;0.05911952;0.9863386
768;0.05946225;0.9874663
776;0.05966991;0.987344
784;0.05977315;0.9875574
792;0.05984813;0.9877283
800;0.05989373;0.9871851
808;0.06002712;0.9873847
816;0.06013393;0.9875545
824;0.06004512;0.9865192
832;0.05943179;0.9860755
840;0.06012207;0.987002
848;0.06027162;0.9871861
856;0.06040782;0.987339
864;0.06023681;0.9862937
872;0.05971938;0.9858068
880;0.060314;0.9868039
888;0.06052238;0.9865569
896;0.06047666;0.9869646
904;0.06063259;0.9871099
912;0.06069797;0.9866992
920;0.06086195;0.9868204
928;0.05165647;0.9887205
936;0.0513391;0.9887803
944;0.05139212;0.9889483
952;0.05170797;0.9888853
960;0.05145182;0.9891436
968;0.05197544;0.9886621
976;0.0517946;0.9890717
984;0.05202132;0.9888335
992;0.05184005;0.9892538
1000;0.05222978;0.989152
1008;0.05149791;0.9893256
1016;0.05157651;0.9896456
1024;0.05191193;0.9895681
1032;0.05226196;0.9894994
1040;0.05265349;0.9894365
1048;0.05232753;0.9887724
1056;0.05227636;0.9885954
1064;0.0520905;0.9890088
1072;0.05237447;0.9889417
1080;0.05269328;0.9890257
1088;0.05309899;0.9893768
1096;0.05260791;0.9886997
1104;0.05256282;0.9885365
1112;0.05264576;0.9888645
1120;0.05317304;0.9888909
1128;0.05361302;0.9893022
1136;0.05290334;0.9887946
1144;0.05286597;0.9886237
1152;0.05282877;0.988483
1160;0.05314176;0.9887297
1168;0.05310453;0.9885601
1176;0.05307734;0.9884217
1184;0.05336249;0.9886597
1192;0.053331;0.988501
1200;0.05330618;0.9883682
1208;0.05356084;0.9887794
1216;0.05394004;0.9886862
1224;0.05412039;0.9892575
1232;0.05458468;0.9892938
1240;0.05351643;0.9884486
1248;0.05350131;0.9883291
1256;0.05367605;0.9882953
1264;0.05354343;0.9886001
1272;0.0537248;0.9885427
1280;0.05369331;0.9883984
1288;0.0538262;0.9882635
1296;0.05385864;0.9883514
1304;0.05392665;0.9882418
1312;0.05390389;0.9884852
1320;0.0540363;0.9882772
1328;0.05399962;0.9882225
1336;0.0542471;0.9883674
1344;0.0540698;0.9882249
1352;0.0542618;0.9886621
1360;0.05483162;0.9887823
1368;0.05469799;0.9890869
1376;0.05505167;0.9893532
1384;0.05564737;0.989448
