Offset;Input Attributes: Layout 6 (Per vertex).TEXCOORD2[0];Input Attributes: Layout 6 (Per vertex).TEXCOORD2[1]
0;0.02357016;0.9865327
8;0.02358843;0.9864749
16;0.02347891;0.9864545
24;0.02346145;0.986511
32;0.02336949;0.9864342
40;0.02354967;0.9865999
48;0.02335375;0.9864935
56;0.02343167;0.986575
64;0.02324847;0.9864724
72;0.02326593;0.9864113
80;0.02341593;0.9866375
88;0.02328178;0.9866028
96;0.02353342;0.9866625
104;0.02350657;0.9867725
112;0.0233917;0.9867463
120;0.02327108;0.9867224
128;0.02313642;0.9867003
136;0.02332982;0.9865538
144;0.02323232;0.9865305
152;0.02312239;0.9865592
160;0.0229832;0.9866799
168;0.02313905;0.9865037
176;0.02295756;0.9865127
184;0.02280635;0.9866546
192;0.02315187;0.9864475
200;0.02316751;0.9863914
208;0.02305042;0.9864798
216;0.02306314;0.9864213
224;0.02307596;0.9863732
232;0.02296816;0.9864575
240;0.02298098;0.9863992
248;0.02299036;0.9863517
256;0.02289235;0.986434
264;0.02290346;0.986379
272;0.02291203;0.9863335
280;0.02282422;0.9864746
288;0.0226938;0.9864426
296;0.02263213;0.986639
304;0.02247244;0.9866515
312;0.02283946;0.9863611
320;0.02284471;0.9863198
328;0.02278455;0.9863082
336;0.02283027;0.986413
344;0.02276789;0.9863935
352;0.02277859;0.9863436
360;0.02273297;0.9862971
368;0.02272196;0.9863274
376;0.02269855;0.9862899
384;0.02270632;0.9863735
392;0.0226607;0.9863018
400;0.02267341;0.9862833
408;0.02258863;0.9863329
416;0.02264919;0.9862841
424;0.02258317;0.9864342
432;0.02238715;0.9864758
440;0.02243358;0.9865803
448;0.02231145;0.9866722
456;0.02210684;0.9867046
464;0.02204042;0.9864751
472;0.0225755;0.9862858
480;0.02236585;0.9863231
488;0.02201731;0.9862789
496;0.02268321;0.9862661
504;0.0227041;0.9862761
512;0.02235687;0.9862059
520;0.02258317;0.9862247
528;0.02235061;0.986095
536;0.02199358;0.9860663
544;0.02217033;0.9860278
552;0.0223821;0.9859704
560;0.02274498;0.9862378
568;0.02274074;0.9862608
576;0.02272156;0.9861764
584;0.02252231;0.986097
592;0.02272378;0.986044
600;0.02254815;0.9859005
608;0.02278596;0.9862155
616;0.02278717;0.9862449
624;0.0227799;0.9861541
632;0.02284208;0.9861917
640;0.0228442;0.9862264
648;0.02287489;0.9859775
656;0.02268966;0.9858203
664;0.02284299;0.9861304
672;0.02291365;0.9861684
680;0.02291405;0.9862077
688;0.02291537;0.9860986
696;0.02298996;0.9861408
704;0.02299501;0.9861859
712;0.02301166;0.9858946
720;0.02281877;0.9857297
728;0.02298269;0.9860637
736;0.02307253;0.9860998
744;0.02308747;0.9861541
752;0.02313642;0.9858062
760;0.02293545;0.9856354
768;0.02305335;0.9860228
776;0.02312451;0.9859812
784;0.02316035;0.9860543
792;0.02318588;0.986113
800;0.02320163;0.9859263
808;0.02324766;0.9859949
816;0.0232842;0.9860533
824;0.02325362;0.9856973
832;0.02304275;0.9855447
840;0.02327996;0.9858633
848;0.02333154;0.9859267
856;0.02337838;0.9859792
864;0.02331963;0.9856199
872;0.02314157;0.9854527
880;0.02334608;0.9857954
888;0.02341805;0.9857104
896;0.0234023;0.9858507
904;0.0234556;0.9859009
912;0.02347811;0.9857597
920;0.02353443;0.9858016
928;0.01139515;0.9864545
936;0.01128608;0.9864749
944;0.01130402;0.9865327
952;0.01141264;0.986511
960;0.01132444;0.9865999
968;0.01150469;0.9864342
976;0.01144241;0.986575
984;0.01152042;0.9864935
992;0.01145826;0.9866375
1000;0.01159241;0.9866028
1008;0.01134061;0.9866625
1016;0.01136746;0.9867725
1024;0.01148286;0.9867463
1032;0.01160344;0.9867224
1040;0.01173807;0.9867003
1048;0.01162562;0.9864724
1056;0.01160813;0.9864113
1064;0.01154434;0.9865538
1072;0.01164225;0.9865305
1080;0.01175169;0.9865592
1088;0.01189101;0.9866799
1096;0.01172237;0.9864475
1104;0.011707;0.9863914
1112;0.01173549;0.9865037
1120;0.01191658;0.9865127
1128;0.01206776;0.9866546
1136;0.01182369;0.9864798
1144;0.01181092;0.9864213
1152;0.01179812;0.9863732
1160;0.0119059;0.9864575
1168;0.01189313;0.9863992
1176;0.01188375;0.9863517
1184;0.01198179;0.986434
1192;0.01197111;0.986379
1200;0.01196256;0.9863335
1208;0.01204992;0.9864746
1216;0.01218023;0.9864426
1224;0.01224248;0.986639
1232;0.01240222;0.9866515
1240;0.01203455;0.9863611
1248;0.01202953;0.9863198
1256;0.01208956;0.9863082
1264;0.01204394;0.986413
1272;0.01210609;0.9863935
1280;0.01209554;0.9863436
1288;0.01214104;0.9862971
1296;0.01215219;0.9863274
1304;0.01217554;0.9862899
1312;0.01216792;0.9863735
1320;0.01221354;0.9863018
1328;0.01220075;0.9862833
1336;0.01228589;0.9863329
1344;0.01222502;0.9862841
1352;0.01229104;0.9864342
1360;0.01248701;0.9864758
1368;0.01244093;0.9865803
1376;0.01256231;0.9866722
1384;0.01276767;0.9867046
1392;0.01283371;0.9864751
1400;0.01229868;0.9862858
1408;0.01250826;0.9863231
1416;0.0128567;0.9862789
1424;0.0121909;0.9862661
1432;0.01217001;0.9862761
1440;0.01251717;0.9862059
1448;0.01229104;0.9862247
1456;0.01252408;0.986095
1464;0.01288063;0.9860663
1472;0.01270375;0.9860278
1480;0.01249206;0.9859704
1488;0.01212908;0.9862378
1496;0.01213342;0.9862608
1504;0.01215255;0.9861764
1512;0.01235193;0.986097
1520;0.01215043;0.986044
1528;0.01232601;0.9859005
1536;0.01208863;0.9862155
1544;0.01208699;0.9862449
1552;0.01209426;0.9861541
1560;0.01203246;0.9861917
1568;0.01202986;0.9862264
1576;0.01199927;0.9859775
1584;0.01218457;0.9858203
1592;0.01203162;0.9861304
1600;0.01196044;0.9861684
1608;0.01195963;0.9862077
1616;0.01195879;0.9860986
1624;0.01188468;0.9861408
1632;0.01187905;0.9861859
1640;0.01186285;0.9858946
1648;0.01205544;0.9857297
1656;0.01189147;0.9860637
1664;0.01180201;0.9860998
1672;0.01178664;0.9861541
1680;0.01173774;0.9858062
1688;0.01193921;0.9856354
1696;0.01182111;0.9860228
1704;0.01174957;0.9859812
1712;0.01171381;0.9860543
1720;0.01168822;0.986113
1728;0.01167288;0.9859263
1736;0.01162655;0.9859949
1744;0.01158983;0.9860533
1752;0.01162057;0.9856973
1760;0.01183143;0.9855447
1768;0.01159405;0.9858633
1776;0.01154257;0.9859267
1784;0.01149566;0.9859792
1792;0.01155453;0.9856199
1800;0.01173256;0.9854527
1808;0.01152803;0.9857954
1816;0.01145649;0.9857104
1824;0.01147231;0.9858507
1832;0.01141862;0.9859009
1840;0.01139608;0.9857597
1848;0.01133981;0.9858016
1856;0.02567687;0.9865551
1864;0.02643543;0.9865551
1872;0.02643543;0.9855958
1880;0.02575722;0.9856087
1888;0.02499826;0.9864439
1896;0.02583868;0.9847041
1904;0.02643543;0.9846715
1912;0.0251856;0.9855496
1920;0.02411897;0.9859517
1928;0.02590338;0.983832
1936;0.02643543;0.9838377
1944;0.02534932;0.9846985
1952;0.02444834;0.9851991
1960;0.02343319;0.9851609
1968;0.02597626;0.982888
1976;0.02643543;0.9828587
1984;0.02643543;0.982251
1992;0.02549569;0.9838061
2000;0.0247133;0.9844974
2008;0.02384048;0.9846381
2016;0.02308898;0.9845186
2024;0.0257334;0.9821438
2032;0.02643543;0.9814992
2040;0.02563508;0.9828552
2048;0.02494032;0.9836774
2056;0.02418842;0.9840583
2064;0.02349627;0.9841586
2072;0.02268351;0.983827
2080;0.02516319;0.9827503
2088;0.0253041;0.9820004
2096;0.02443501;0.9834111
2104;0.02470099;0.9825757
2112;0.02385542;0.9836543
2120;0.02318397;0.9835124
2128;0.02415006;0.9831153
2136;0.02586089;0.9812245
2144;0.02594265;0.9801582
2152;0.02643543;0.9805131
2160;0.02542836;0.9810156
2168;0.02490196;0.9818269
2176;0.02361124;0.9831136
2184;0.02434891;0.9822657
2192;0.0259916;0.9789927
2200;0.02643543;0.9793903
2208;0.02394828;0.982764
2216;0.02379536;0.9823872
2224;0.02329086;0.9828043
2232;0.02600826;0.9780146
2240;0.02643543;0.9783998
2248;0.02272863;0.9831145
2256;0.0259916;0.9770246
2264;0.02643543;0.9774265
2272;0.0259482;0.9762055
2280;0.02643543;0.9764838
2288;0.02602017;0.9752482
2296;0.02643543;0.9754846
2304;0.02643543;0.9742852
2312;0.02557109;0.9760729
2320;0.02559754;0.9768353
2328;0.0259699;0.9741653
2336;0.02643543;0.9729587
2344;0.02547833;0.9750606
2352;0.02594729;0.9729989
2360;0.02643543;0.9717978
2368;0.02559854;0.9778107
2376;0.02523123;0.975998
2384;0.02540666;0.974028
2392;0.02593074;0.9719079
2400;0.02643543;0.970693
2408;0.02523466;0.9767805
2416;0.02557664;0.978753
2424;0.02509455;0.9749695
2432;0.02536749;0.9729744
2440;0.02593366;0.9708449
2448;0.02643543;0.9696105
2456;0.02522012;0.9777571
2464;0.02495445;0.9759321
2472;0.0249927;0.9739453
2480;0.02535054;0.9719362
2488;0.02595627;0.9698215
2496;0.02643543;0.9687893
2504;0.02601331;0.9687893
2512;0.02536679;0.9709026
2520;0.02542039;0.96986
2528;0.02552042;0.9687893
2536;0.02493053;0.9729228
2544;0.02480526;0.9748952
2552;0.02490529;0.9719088
2560;0.0249816;0.9698578
2568;0.02512181;0.9687893
2576;0.02492366;0.970891
2584;0.02452586;0.9738352
2592;0.0244768;0.9698477
2600;0.02457481;0.9687893
2608;0.02444571;0.9728451
2616;0.0244121;0.9718615
2624;0.02442018;0.9708662
2632;0.0238209;0.9698234
2640;0.02381918;0.9687893
2648;0.02381706;0.9708202
2656;0.02384815;0.9717849
2664;0.02391497;0.9727352
2672;0.02331468;0.9697905
2680;0.02337656;0.9687893
2688;0.02332589;0.9707624
2696;0.02338928;0.971701
2704;0.0228433;0.9697633
2712;0.02293051;0.9687893
2720;0.02284703;0.9706987
2728;0.02235374;0.9697359
2736;0.02250111;0.9687893
2744;0.02401339;0.9736903
2752;0.02349658;0.9726275
2760;0.02291981;0.9716028
2768;0.02236151;0.9706403
2776;0.02179877;0.9696962
2784;0.02193716;0.9687893
2792;0.02363678;0.9735448
2800;0.02304164;0.9724931
2808;0.0224577;0.9715067
2816;0.02183148;0.9705911
2824;0.02117113;0.9696338
2832;0.0213292;0.9687893
2840;0.02319255;0.9733593
2848;0.02260346;0.972349
2856;0.0219734;0.9714611
2864;0.02125461;0.9705383
2872;0.02049382;0.9696231
2880;0.0200027;0.9687893
2888;0.02283421;0.9730136
2896;0.02221192;0.9723474
2904;0.02255057;0.9732882
2912;0.02146052;0.9714521
2920;0.02069621;0.9705168
2928;0.02178424;0.9723908
2936;0.02097268;0.9714718
2944;0.0230912;0.9742436
2952;0.02219021;0.9733684
2960;0.02139138;0.9725839
2968;0.02374792;0.9744545
2976;0.02263576;0.974349
2984;0.02173982;0.9735135
2992;0.02413906;0.9746497
3000;0.02229752;0.974515
3008;0.02448104;0.9747862
3016;0.02461065;0.9757597
3024;0.02427533;0.9755791
3032;0.02390266;0.9753973
3040;0.0234021;0.975237
3048;0.02294878;0.9752135
3056;0.02262688;0.9752921
3064;0.02461771;0.9764601
3072;0.0243048;0.9762889
3080;0.02401339;0.9762617
3088;0.0235853;0.9759876
3096;0.0231771;0.9758888
3104;0.02283683;0.975894
3112;0.0249599;0.9768004
3120;0.02410232;0.9772192
3128;0.02372803;0.9769332
3136;0.02334799;0.9765735
3144;0.02437586;0.9772345
3152;0.02464517;0.977352
3160;0.02490236;0.9778658
3168;0.02296755;0.9764018
3176;0.02518176;0.9786577
3184;0.02416207;0.9780643
3192;0.02437243;0.977983
3200;0.0246271;0.9779339
3208;0.02389236;0.9778823
3216;0.02358611;0.97744
3224;0.02333739;0.977097
3232;0.02372702;0.9778907
3240;0.02455352;0.9787207
3248;0.02432852;0.9787171
3256;0.02412967;0.9787415
