Offset;Input Attributes: Layout 7 (Per vertex).TEXCOORD3[0];Input Attributes: Layout 7 (Per vertex).TEXCOORD3[1]
1744;0.03960311;0.9653592
1752;0.0396415;0.9649121
1760;0.03990638;0.9647203
1768;0.03960824;0.9651206
1776;0.03954363;0.9652001
1784;0.03948486;0.9652662
1792;0.03955865;0.9648146
1800;0.03978217;0.9646043
1808;0.03952539;0.965035
1816;0.03943539;0.9649283
1824;0.03945506;0.9651044
1832;0.0393877;0.9651672
1840;0.03935945;0.9649898
1848;0.03928864;0.9650421
1856;0.05726147;0.9659891
1864;0.05821478;0.9659891
1872;0.05821478;0.9647844
1880;0.05736202;0.9648004
1888;0.0564087;0.9658496
1896;0.0574649;0.9636642
1904;0.05821478;0.963623
1912;0.0566442;0.9647261
1920;0.05530447;0.9652314
1928;0.05754608;0.9625691
1936;0.05821478;0.9625759
1944;0.0568499;0.9636573
1952;0.05571771;0.964286
1960;0.05444258;0.964238
1968;0.05763751;0.9613826
1976;0.05821478;0.961346
1984;0.05821478;0.9605824
1992;0.05703402;0.9625359
2000;0.05605114;0.9634047
2008;0.05495447;0.9635813
2016;0.05401051;0.9634309
2024;0.05733234;0.9604475
2032;0.05821478;0.9596381
2040;0.0572089;0.9613414
2048;0.05633628;0.9623741
2056;0.05539137;0.9628526
2064;0.05452186;0.9629791
2072;0.05350071;0.9625622
2080;0.05661565;0.96121
2088;0.0567928;0.960268
2096;0.05570161;0.9620398
2104;0.05603492;0.9609905
2112;0.05497301;0.9623451
2120;0.05412936;0.9621667
2128;0.05534339;0.9616684
2136;0.05749232;0.9592929
2144;0.05759519;0.9579532
2152;0.05821478;0.9583991
2160;0.05694938;0.95903
2168;0.05628753;0.9600497
2176;0.0546667;0.961666
2184;0.05559313;0.9606007
2192;0.05765694;0.956489
2200;0.05821478;0.9569885
2208;0.05508959;0.9612271
2216;0.05489755;0.9607539
2224;0.05426425;0.9612774
2232;0.05767781;0.9552605
2240;0.05821478;0.9557444
2248;0.05355757;0.9616669
2256;0.05765694;0.9540164
2264;0.05821478;0.9545218
2272;0.05760211;0.9529877
2280;0.05821478;0.9533374
2288;0.05769241;0.9517852
2296;0.05821478;0.9520824
2304;0.05821478;0.9505757
2312;0.05712891;0.9528209
2320;0.05716199;0.9537786
2328;0.05762953;0.950425
2336;0.05821478;0.9489092
2344;0.05701226;0.9515496
2352;0.05760092;0.9489595
2360;0.05821478;0.9474506
2368;0.05716258;0.9550043
2376;0.0567013;0.9527271
2384;0.05692196;0.9502524
2392;0.05758035;0.9475889
2400;0.05821478;0.9460629
2408;0.05670589;0.9537102
2416;0.0571357;0.9561884
2424;0.05652988;0.9514354
2432;0.05687279;0.9489286
2440;0.05758381;0.9462538
2448;0.05821478;0.9447026
2456;0.05668795;0.9549369
2464;0.05635381;0.9526448
2472;0.05640185;0.9501482
2480;0.05685109;0.9476244
2488;0.05761236;0.9449678
2496;0.05821478;0.9436716
2504;0.05768436;0.9436716
2512;0.05687165;0.9463258
2520;0.05693907;0.9450159
2528;0.05706483;0.9436716
2536;0.05632412;0.9488634
2544;0.05616641;0.9513417
2552;0.05629212;0.9475901
2560;0.05638814;0.9450135
2568;0.05656421;0.9436716
2576;0.056315;0.9463121
2584;0.0558154;0.9500099
2592;0.05575371;0.945001
2600;0.05587721;0.9436716
2608;0.05571485;0.9487664
2616;0.05567259;0.9475306
2624;0.05568284;0.9462801
2632;0.05492955;0.9449701
2640;0.05492729;0.9436716
2648;0.05492502;0.946223
2656;0.05496383;0.9474346
2664;0.05504847;0.948628
2672;0.05429405;0.944929
2680;0.05437177;0.9436716
2688;0.0543077;0.9461498
2696;0.05438775;0.9473294
2704;0.05370188;0.9448947
2712;0.05381161;0.9436716
2720;0.05370647;0.9460698
2728;0.05308694;0.9448604
2736;0.05327207;0.9436716
2744;0.05517191;0.9498283
2752;0.05452263;0.9484931
2760;0.05379796;0.947206
2768;0.05309606;0.9459966
2776;0.05238962;0.9448101
2784;0.05256337;0.9436716
2792;0.05469865;0.9496453
2800;0.05395108;0.9483239
2808;0.05321723;0.9470849
2816;0.05243081;0.9459349
2824;0.05160087;0.9447324
2832;0.05179977;0.9436716
2840;0.05414081;0.9494121
2848;0.05340016;0.9481434
2856;0.05260909;0.9470277
2864;0.05170608;0.9458686
2872;0.05075043;0.9447187
2880;0.05013317;0.9436716
2888;0.05369043;0.9489778
2896;0.0529086;0.948141
2904;0.05333382;0.9493229
2912;0.0519644;0.9470163
2920;0.05100423;0.9458411
2928;0.05237132;0.9481961
2936;0.05135173;0.9470414
2944;0.05401284;0.9505233
2952;0.05288118;0.9494236
2960;0.05187756;0.9484382
2968;0.05483812;0.9507884
2976;0.05344129;0.9506558
2984;0.05231595;0.9496059
2992;0.05532962;0.9510331
3000;0.05301607;0.9508638
3008;0.05575943;0.9512045
3016;0.05592179;0.9524276
3024;0.0555011;0.9522012
3032;0.05503243;0.9519727
3040;0.05440372;0.9517715
3048;0.0538345;0.9517417
3056;0.05342984;0.95184
3064;0.05593091;0.9533077
3072;0.0555377;0.9530929
3080;0.05517191;0.9530587
3088;0.05463403;0.9527136
3096;0.05412114;0.9525903
3104;0.05369371;0.9525965
