Offset;UnityPerCamera._Time[0];UnityPerCamera._Time[1];UnityPerCamera._Time[2];UnityPerCamera._Time[3];UnityPerCamera._SinTime[0];UnityPerCamera._SinTime[1];UnityPerCamera._SinTime[2];UnityPerCamera._SinTime[3];UnityPerCamera._CosTime[0];UnityPerCamera._CosTime[1];UnityPerCamera._CosTime[2];UnityPerCamera._CosTime[3];UnityPerCamera._TimeParameters[0];UnityPerCamera._TimeParameters[1];UnityPerCamera._TimeParameters[2];UnityPerCamera._TimeParameters[3];UnityPerCamera.unity_DeltaTime[0];UnityPerCamera.unity_DeltaTime[1];UnityPerCamera.unity_DeltaTime[2];UnityPerCamera.unity_DeltaTime[3];UnityPerCamera._WorldSpaceRelativeCameraPos[0];UnityPerCamera._WorldSpaceRelativeCameraPos[1];UnityPerCamera._WorldSpaceRelativeCameraPos[2];UnityPerCamera._EyeAdaptionExposure;UnityPerCamera._WorldSpaceCameraPos[0];UnityPerCamera._WorldSpaceCameraPos[1];UnityPerCamera._WorldSpaceCameraPos[2];UnityPerCamera._EyeAdaptionInverseExposure;UnityPerCamera._WorldSpaceCameraDir[0];UnityPerCamera._WorldSpaceCameraDir[1];UnityPerCamera._WorldSpaceCameraDir[2];UnityPerCamera._ProjectionParams[0];UnityPerCamera._ProjectionParams[1];UnityPerCamera._ProjectionParams[2];UnityPerCamera._ProjectionParams[3];UnityPerCamera._ScreenParams[0];UnityPerCamera._ScreenParams[1];UnityPerCamera._ScreenParams[2];UnityPerCamera._ScreenParams[3];UnityPerCamera._ZBufferParams[0];UnityPerCamera._ZBufferParams[1];UnityPerCamera._ZBufferParams[2];UnityPerCamera._ZBufferParams[3];UnityPerCamera.unity_OrthoParams[0];UnityPerCamera.unity_OrthoParams[1];UnityPerCamera.unity_OrthoParams[2];UnityPerCamera.unity_OrthoParams[3];UnityPerCamera._PrevCameraPos[0];UnityPerCamera._PrevCameraPos[1];UnityPerCamera._PrevCameraPos[2];UnityPerCamera._ReflectNormalBias;UnityPerCamera._PrevTime[0];UnityPerCamera._PrevTime[1];UnityPerCamera._PrevTime[2];UnityPerCamera._PrevTime[3];UnityPerCamera._SRPTime[0];UnityPerCamera._SRPTime[1];UnityPerCamera._SRPTime[2];UnityPerCamera._SRPTime[3];UnityPerCamera._PaperUnscaledTime[0];UnityPerCamera._PaperUnscaledTime[1];UnityPerCamera._PaperUnscaledTime[2];UnityPerCamera._PaperUnscaledTime[3];UnityPerCamera._FrameCount8
120704;0;0;0.007826805;0.007826805;0;0;0.007826805;2.152394e-41;0;0;0.0008706133;0.007826588;2101888;3.057346e-05;0;0;0;0;1.345331e+08;0;5.234924e-11;-5.622613e-11;0;0;0;0;0.0078125;0.0078125;0;0;0;0;0;0;0;0;2.152394e-41;0;0;1;0;0;0;0;1.411757;1.176633;0;0;0;1;-0;-0.08279864;0.8703558;-0.4854124;1;0;0.0078125;4.164188;50.06334;-1;0.1;5000;0.0002;1006647091
121024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.603044;0;0.797708;-0.797708;7.761287e-09;0.603044;0;-0.003427091;0.949883;-0.004637829;1;-6.19124e-09;0.6030439;-0.7977079;0;-1;-6.19124e-09;-4.680397e-09;0;4.680397e-09;0.7977079;0.603044;0.949883;0;0;0;1;1;1;0;0;0.0002163025;0.0003324689;2.002716e-05;-1;0
121344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;1;-1;-0.0003084038;0.948086;-0.009415249;0;-1;0;-0;0;1;0;0;0.948086;0.009415249;-0.0003084038;1;-5.343008;0;0;0;0;-3.731461;-3.571554e-07;0.01783355;0;-0.06635627;2.002398e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.343008;0;-3.732051;0;-0.0002142245;-0.0003324689;2.002716e-05;-1;0;0;0.100002;0;0.5807843;11.61569;23.23137;34.84706;0;0;0;0;0;0;0;0;0.2;0.5;0;0.065;1.56;0;0;0;0;0;0;0;0
121984;0.0001207478;0.0001270418;0.007826805;2.152394e-41;0.007826805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007826805;2.152394e-41;0.007826805;5.872982e-23;1;0;0;0;1;2.152394e-41;0;1;1;0;0;0;0;0;0;0;0;0;0;1;10;0.0009698047;0.007826446;0;0;0.001016436;1.204308e+11;1;0.45;1.204308e+11;0;5.234924e-11;-1.149882e-11;0;0;0;0;0;0;0
122304;0.0078125;0.007826517;0;0;0;0;0;0;0;0;0;0;0;2.152394e-41;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.08279864;0;0.0078125;4.164188;0.003848815;0.01405239;0.004687669;5.62313e-41;0.007825661;2.097604e-41;0;0;0;0;1.204308e+11;0;5.234924e-11;-1.149882e-11;1.083012;0;0;0;0;5.63697e-08;0.0078125;0.007826517;0;0;0;0;0;0;0;0;0;0;0
122624;0;0;0;0;0;1.411757;1.176633;0;0;0;0;0;-0;1.411757;1.176633;0;-0.08279864;0.8703558;-0.4854124;1;0;0.0078125;4.164188;-1;0.007825661;2.097604e-41;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-7.761287e-09;0;0.603044;0;0.797708;0;-0.797708;7.761287e-09;0.603044;0;3143670028
122944;-6.19124e-09;0.6030439;-0.7977079;0;-1;-6.19124e-09;-4.680397e-09;0;4.680397e-09;0.7977079;0.603044;0;0.949883;0.005766325;6.300194e-05;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;1;0;-1;0;0;-0.0003084038;0;0;-1;0;-1;0;-0;0;0;1;0;0;1064482244
123264;-5.343008;0;0;0;0;-3.731461;-3.571554e-07;0.01783355;0;-0.06635627;2.002398e-05;-0.999841;0;0;0.100002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.343008;0;0;0;0;-3.732051;0;0;-0.0002142245;-0.0003324689;2.002716e-05;-1;0
123584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5807843;0;0;0;0;0;0;0;0;0;0;0;1;0.3;-0.065;0.0032;0;0;0;0;0;0;0;0;0.0007523545;6.013632e-05;0.007826805;2.152394e-41;0.007826805;0;0;0;0;0;0;0;0
123904;0;0;0;0;0.007826805;2.152394e-41;0.003497803;0.007826661;4.82947e-15;0;0.0008706133;0.007826588;2101888;0;0;0;0;0;1.345331e+08;0;5.234924e-11;-5.622613e-11;0;1;0;0;0.0078125;0.0078125;1;0;0;0.294;0;0;1;0;2.152394e-41;0;0;-0.08279864;0.8703558;-0.4854124;1;0;0;4.164188;50.06334;0.003848815;0.01405239;0;0.007825661;-0.08279864;0.8703558;-0.4854124;1;0;0.0078125;4.164188;50.06334;0.003848815;0.01405239;0.004687669;5.62313e-41;1006647091
124224;0;0;0.007826805;0.007826805;0;0;0;1.865409e-41;1.945703e-41;0;0;0;0;0;0;0;0.5807843;11.61569;23.23137;34.84706;0;0;0;0;0;0;0;0;0;1.411757;1.176633;0;0;0;0;-0;1.411757;1.176633;0;0;0;0;0;0;0;0;0;-1;0.1;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-7.761287e-09;0;0.603044;0;0.797708;-0.797708;-0.003427091;0.949883;-0.004637829;-6.19124e-09;-1;-6.19124e-09;-4.680397e-09;4.680397e-09;0.7977079;0.603044;0;0.949883;0.005766325;6.300194e-05;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.343008;0;-3.731461;-3.571554e-07;0;-0.06635627;2.002398e-05;-0.999841;0;0;0.100002;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;3.894144e-07;0;0;1;0;0;3.894144e-07;0;1;0;0
125184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5807843;11.61569;23.23137;34.84706;0;0;0;0;0;0;0;1;1.4;1.48;0.005469763;0;0;0.0002483838;0.007826211;3.853953e+12;0;0;0;2132.375;0.007828361;3.853953e+12;0;5.234924e-11;-1.28062e-11;0;0;0;0;0;0;0.0078125;0.007826805;0;0;0.0078125;0;0.0078125;0;5.872982e-23;0;0;0;0
125824;0;0;0;0;1;2.152394e-41;0;0;1;1;0;0;0;0;0;0;-0.08279864;0.8703558;-0.4854124;1;0;0.0078125;4.164188;0.003848815;0.007825661;2.097604e-41;0;1;1.53;0.75;0;0;0;0;0;0;0;0;0;0.7872562;15.74512;31.49025;47.23537;0;0;0;0;0;0;0;0.12;0;0;0;0;0;1.411757;1.176633;0;0;0;0;0;0
126144;0.5807843;11.61569;23.23137;34.84706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.63697e-08;1.48874;1.083012;0;5.63697e-08;1.48874;1.083012;0;0;0;0;0;0;0;0;0;0;0;0;4750;0;0;0;0;4750;0;0;0;0;4750;0;0.0002105263;-0;0;0;-0;0.0002105263;-0;0;0;-0;0.0002105263;0;2147483648
126464;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;-0;0;0;-0;1;-0;0;-0;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.33613;1.294682e-10;7.798864e-12;-3.894144e-07;-1;0;0;0;-0;-0.01783355;0.999841;-0;0;0;0;0;0;0;0;0;0;0;0;-1;0;3.894144e-07;0;0;1;0;0;3.894144e-07;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
